idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"PIC16F84-T100","top.Counter",89,109,0.2835,,"","待标注"
1,"PIC16F84-T100","top.prog_adr_o",8,8,0.3656,,"","待标注"
2,"PIC16F84-T200","top.Counter",89,109,0.2419,,"","待标注"
3,"PIC16F84-T200","top.inst_reg",23,30,0.8954,,"","待标注"
4,"PIC16F84-T200","top.Trojan_Trigger_Out",7,6,0.4473,,"","待标注"
5,"PIC16F84-T300","top.Counter",89,109,0.2483,,"","待标注"
6,"PIC16F84-T300","top.eep_dat_reg",43,55,0.9635,,"","待标注"
7,"PIC16F84-T300","top.Trojan_Trigger_Out",7,6,0.4992,,"","待标注"
8,"PIC16F84-T400","top.Counter",89,109,0.2459,,"","待标注"
9,"PIC16F84-T400","top.eep_adr_reg",33,43,0.9326,,"","待标注"
10,"PIC16F84-T400","top.Trojan_Trigger_Out",7,6,0.5631,,"","待标注"
11,"RC6-T100","top.tj_t1_cnt",9,9,0.3137,,"","待标注"
12,"RC6-T100","top.tj_t1_trig",4,3,0.2483,,"","待标注"
13,"RC6-T200","top.tj_t2_s_exkey_mod",5,4,0.2481,,"","待标注"
14,"RC6-T200","top.tj_t2_trig",4,3,0.2522,,"","待标注"
15,"RC6-T300","top.tj_t3_flag",7,6,0.2602,,"","待标注"
16,"RC6-T300","top.tj_t3_leak",11,11,0.3219,,"","待标注"
17,"RC6-T600","top.u_keyex.s_busy",15,15,0.6667,,"","待标注"
18,"RC6-T700","top.u_keyex.r_count",22,26,0.3205,,"","待标注"
19,"RC6-T800","top.u_keyex.s_tmp",43,76,0.3672,,"","待标注"
20,"RS232-T100","top.iRECEIVER.ena",6,5,0.1101,,"","待标注"
21,"RS232-T100","top.iRECEIVER.rec_data_cntrH_1",33,39,0.1464,,"","待标注"
22,"RS232-T100","top.iRECEIVER.rec_data_cntrH_2",37,42,0.1839,,"","待标注"
23,"RS232-T100","top.iRECEIVER.rec_data_cntrH_3",14,15,0.1718,,"","待标注"
24,"RS232-T100","top.iRECEIVER.rec_dataH",5,4,0.1695,,"","待标注"
25,"RS232-T100","top.iRECEIVER.rec_readyH",5,4,0.3086,,"","待标注"
26,"RS232-T100","top.iRECEIVER.rec_readyH_temp",6,5,0.8512,,"","待标注"
27,"RS232-T200","top.iRECEIVER.clk_l",3,2,0.2281,,"","待标注"
28,"RS232-T200","top.iRECEIVER.cntr_resetH",28,35,0.8988,,"","待标注"
29,"RS232-T200","top.iRECEIVER.count_l",11,10,0.4231,,"","待标注"
30,"RS232-T200","top.iRECEIVER.countH",19,25,0.7692,,"","待标注"
31,"RS232-T200","top.iRECEIVER.ena",4,3,0.1512,,"","待标注"
32,"RS232-T200","top.iRECEIVER.next_state",44,49,0.3290,,"","待标注"
33,"RS232-T200","top.iRECEIVER.rec_data_cntrH_1",33,39,0.1804,,"","待标注"
34,"RS232-T200","top.iRECEIVER.rec_data_cntrH_2",34,39,0.1783,,"","待标注"
35,"RS232-T200","top.iRECEIVER.rec_readyInH",24,30,0.8897,,"","待标注"
36,"RS232-T200","top.iRECEIVER.rstCountH",23,29,0.8079,,"","待标注"
37,"RS232-T200","top.iRECEIVER.shiftH",19,25,0.7675,,"","待标注"
38,"RS232-T2100","top.iRECEIVER.cntr_resetH",28,35,0.8848,,"","待标注"
39,"RS232-T2100","top.iRECEIVER.countH",19,25,0.7844,,"","待标注"
40,"RS232-T2100","top.iRECEIVER.ena",20,24,0.6147,,"","待标注"
41,"RS232-T2100","top.iRECEIVER.next_state",44,49,0.4604,,"","待标注"
42,"RS232-T2100","top.iRECEIVER.rec_dataH",5,4,0.2366,,"","待标注"
43,"RS232-T2100","top.iRECEIVER.rec_readyH",5,4,0.4000,,"","待标注"
